"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2004 General Election","BEDFORD","President of the United States","StateWide","Democratic","KERRY, JOHN F.","6,016","","","","","","","","","","",""
"2004 General Election","BEDFORD","President of the United States","StateWide","Republican","BUSH, GEORGE W.","16,606","","","","","","","","","","",""
"2004 General Election","BEDFORD","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","19","","","","","","","","","","",""
"2004 General Election","BEDFORD","President of the United States","StateWide","Green","COBB, DAVID K.","15","","","","","","","","","","",""
"2004 General Election","BEDFORD","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","23","","","","","","","","","","",""
"2004 General Election","BERKS","President of the United States","StateWide","Democratic","KERRY, JOHN F.","76,309","","","","","","","","","","",""
"2004 General Election","BERKS","President of the United States","StateWide","Republican","BUSH, GEORGE W.","87,122","","","","","","","","","","",""
"2004 General Election","BERKS","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","551","","","","","","","","","","",""
"2004 General Election","BERKS","President of the United States","StateWide","Green","COBB, DAVID K.","295","","","","","","","","","","",""
"2004 General Election","BERKS","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","210","","","","","","","","","","",""
"2004 General Election","BLAIR","President of the United States","StateWide","Democratic","KERRY, JOHN F.","18,105","","","","","","","","","","",""
"2004 General Election","BLAIR","President of the United States","StateWide","Republican","BUSH, GEORGE W.","35,751","","","","","","","","","","",""
"2004 General Election","BLAIR","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","210","","","","","","","","","","",""
"2004 General Election","BLAIR","President of the United States","StateWide","Green","COBB, DAVID K.","54","","","","","","","","","","",""
"2004 General Election","BLAIR","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","58","","","","","","","","","","",""
"2004 General Election","BRADFORD","President of the United States","StateWide","Democratic","KERRY, JOHN F.","8,590","","","","","","","","","","",""
"2004 General Election","BRADFORD","President of the United States","StateWide","Republican","BUSH, GEORGE W.","16,942","","","","","","","","","","",""
"2004 General Election","BRADFORD","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","57","","","","","","","","","","",""
"2004 General Election","BRADFORD","President of the United States","StateWide","Green","COBB, DAVID K.","27","","","","","","","","","","",""
"2004 General Election","BRADFORD","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","36","","","","","","","","","","",""
"2004 General Election","BUCKS","President of the United States","StateWide","Democratic","KERRY, JOHN F.","163,438","","","","","","","","","","",""
"2004 General Election","BUCKS","President of the United States","StateWide","Republican","BUSH, GEORGE W.","154,469","","","","","","","","","","",""
"2004 General Election","BUCKS","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","1,338","","","","","","","","","","",""
"2004 General Election","BUCKS","President of the United States","StateWide","Green","COBB, DAVID K.","308","","","","","","","","","","",""
"2004 General Election","BUCKS","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","263","","","","","","","","","","",""
"2004 General Election","BUTLER","President of the United States","StateWide","Democratic","KERRY, JOHN F.","30,090","","","","","","","","","","",""
"2004 General Election","BUTLER","President of the United States","StateWide","Republican","BUSH, GEORGE W.","54,959","","","","","","","","","","",""
"2004 General Election","BUTLER","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","182","","","","","","","","","","",""
"2004 General Election","BUTLER","President of the United States","StateWide","Green","COBB, DAVID K.","83","","","","","","","","","","",""
"2004 General Election","BUTLER","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","111","","","","","","","","","","",""
"2004 General Election","CAMBRIA","President of the United States","StateWide","Democratic","KERRY, JOHN F.","32,591","","","","","","","","","","",""
"2004 General Election","CAMBRIA","President of the United States","StateWide","Republican","BUSH, GEORGE W.","34,048","","","","","","","","","","",""
"2004 General Election","CAMBRIA","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","159","","","","","","","","","","",""
"2004 General Election","CAMBRIA","President of the United States","StateWide","Green","COBB, DAVID K.","86","","","","","","","","","","",""
"2004 General Election","CAMBRIA","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","99","","","","","","","","","","",""
"2004 General Election","CAMERON","President of the United States","StateWide","Democratic","KERRY, JOHN F.","794","","","","","","","","","","",""
"2004 General Election","CAMERON","President of the United States","StateWide","Republican","BUSH, GEORGE W.","1,599","","","","","","","","","","",""
"2004 General Election","CAMERON","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","8","","","","","","","","","","",""
"2004 General Election","CAMERON","President of the United States","StateWide","Green","COBB, DAVID K.","3","","","","","","","","","","",""
"2004 General Election","CAMERON","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","2","","","","","","","","","","",""
"2004 General Election","CARBON","President of the United States","StateWide","Democratic","KERRY, JOHN F.","12,223","","","","","","","","","","",""
"2004 General Election","CARBON","President of the United States","StateWide","Republican","BUSH, GEORGE W.","12,519","","","","","","","","","","",""
"2004 General Election","CARBON","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","229","","","","","","","","","","",""
"2004 General Election","CARBON","President of the United States","StateWide","Green","COBB, DAVID K.","42","","","","","","","","","","",""
"2004 General Election","CARBON","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","30","","","","","","","","","","",""
"2004 General Election","CENTRE","President of the United States","StateWide","Democratic","KERRY, JOHN F.","30,733","","","","","","","","","","",""
"2004 General Election","CENTRE","President of the United States","StateWide","Republican","BUSH, GEORGE W.","33,133","","","","","","","","","","",""
"2004 General Election","CENTRE","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","227","","","","","","","","","","",""
"2004 General Election","CENTRE","President of the United States","StateWide","Green","COBB, DAVID K.","90","","","","","","","","","","",""
"2004 General Election","CENTRE","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","70","","","","","","","","","","",""
"2004 General Election","CHESTER","President of the United States","StateWide","Democratic","KERRY, JOHN F.","109,708","","","","","","","","","","",""
"2004 General Election","CHESTER","President of the United States","StateWide","Republican","BUSH, GEORGE W.","120,036","","","","","","","","","","",""
"2004 General Election","CHESTER","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","632","","","","","","","","","","",""
"2004 General Election","CHESTER","President of the United States","StateWide","Green","COBB, DAVID K.","263","","","","","","","","","","",""
"2004 General Election","CHESTER","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","184","","","","","","","","","","",""
"2004 General Election","CLARION","President of the United States","StateWide","Democratic","KERRY, JOHN F.","6,049","","","","","","","","","","",""
"2004 General Election","CLARION","President of the United States","StateWide","Republican","BUSH, GEORGE W.","11,063","","","","","","","","","","",""
"2004 General Election","CLARION","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","37","","","","","","","","","","",""
"2004 General Election","CLARION","President of the United States","StateWide","Green","COBB, DAVID K.","19","","","","","","","","","","",""
"2004 General Election","CLARION","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","16","","","","","","","","","","",""
"2004 General Election","CLEARFIELD","President of the United States","StateWide","Democratic","KERRY, JOHN F.","13,518","","","","","","","","","","",""
"2004 General Election","CLEARFIELD","President of the United States","StateWide","Republican","BUSH, GEORGE W.","20,533","","","","","","","","","","",""
"2004 General Election","CLEARFIELD","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","68","","","","","","","","","","",""
"2004 General Election","CLEARFIELD","President of the United States","StateWide","Green","COBB, DAVID K.","47","","","","","","","","","","",""
"2004 General Election","CLEARFIELD","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","67","","","","","","","","","","",""
"2004 General Election","CLINTON","President of the United States","StateWide","Democratic","KERRY, JOHN F.","5,823","","","","","","","","","","",""
"2004 General Election","CLINTON","President of the United States","StateWide","Republican","BUSH, GEORGE W.","8,035","","","","","","","","","","",""
"2004 General Election","CLINTON","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","83","","","","","","","","","","",""
"2004 General Election","CLINTON","President of the United States","StateWide","Green","COBB, DAVID K.","13","","","","","","","","","","",""
"2004 General Election","CLINTON","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","13","","","","","","","","","","",""
"2004 General Election","COLUMBIA","President of the United States","StateWide","Democratic","KERRY, JOHN F.","10,679","","","","","","","","","","",""
"2004 General Election","COLUMBIA","President of the United States","StateWide","Republican","BUSH, GEORGE W.","16,052","","","","","","","","","","",""
"2004 General Election","COLUMBIA","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","57","","","","","","","","","","",""
"2004 General Election","COLUMBIA","President of the United States","StateWide","Green","COBB, DAVID K.","39","","","","","","","","","","",""
"2004 General Election","COLUMBIA","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","42","","","","","","","","","","",""
"2004 General Election","CRAWFORD","President of the United States","StateWide","Democratic","KERRY, JOHN F.","16,013","","","","","","","","","","",""
"2004 General Election","CRAWFORD","President of the United States","StateWide","Republican","BUSH, GEORGE W.","21,965","","","","","","","","","","",""
"2004 General Election","CRAWFORD","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","176","","","","","","","","","","",""
"2004 General Election","CRAWFORD","President of the United States","StateWide","Green","COBB, DAVID K.","63","","","","","","","","","","",""
"2004 General Election","CRAWFORD","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","105","","","","","","","","","","",""
"2004 General Election","CUMBERLAND","President of the United States","StateWide","Democratic","KERRY, JOHN F.","37,928","","","","","","","","","","",""
"2004 General Election","CUMBERLAND","President of the United States","StateWide","Republican","BUSH, GEORGE W.","67,648","","","","","","","","","","",""
"2004 General Election","CUMBERLAND","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","265","","","","","","","","","","",""
"2004 General Election","CUMBERLAND","President of the United States","StateWide","Green","COBB, DAVID K.","112","","","","","","","","","","",""
"2004 General Election","CUMBERLAND","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","129","","","","","","","","","","",""
"2004 General Election","DAUPHIN","President of the United States","StateWide","Democratic","KERRY, JOHN F.","55,299","","","","","","","","","","",""
"2004 General Election","DAUPHIN","President of the United States","StateWide","Republican","BUSH, GEORGE W.","65,296","","","","","","","","","","",""
"2004 General Election","DAUPHIN","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","274","","","","","","","","","","",""
"2004 General Election","DAUPHIN","President of the United States","StateWide","Green","COBB, DAVID K.","171","","","","","","","","","","",""
"2004 General Election","DAUPHIN","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","168","","","","","","","","","","",""
"2004 General Election","DELAWARE","President of the United States","StateWide","Democratic","KERRY, JOHN F.","162,601","","","","","","","","","","",""
"2004 General Election","DELAWARE","President of the United States","StateWide","Republican","BUSH, GEORGE W.","120,425","","","","","","","","","","",""
"2004 General Election","DELAWARE","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","946","","","","","","","","","","",""
"2004 General Election","DELAWARE","President of the United States","StateWide","Green","COBB, DAVID K.","312","","","","","","","","","","",""
"2004 General Election","DELAWARE","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","254","","","","","","","","","","",""
"2004 General Election","ELK","President of the United States","StateWide","Democratic","KERRY, JOHN F.","6,602","","","","","","","","","","",""
"2004 General Election","ELK","President of the United States","StateWide","Republican","BUSH, GEORGE W.","7,872","","","","","","","","","","",""
"2004 General Election","ELK","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","25","","","","","","","","","","",""
"2004 General Election","ELK","President of the United States","StateWide","Green","COBB, DAVID K.","20","","","","","","","","","","",""
"2004 General Election","ELK","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","31","","","","","","","","","","",""
"2004 General Election","ERIE","President of the United States","StateWide","Democratic","KERRY, JOHN F.","67,921","","","","","","","","","","",""
"2004 General Election","ERIE","President of the United States","StateWide","Republican","BUSH, GEORGE W.","57,372","","","","","","","","","","",""
"2004 General Election","ERIE","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","334","","","","","","","","","","",""
"2004 General Election","ERIE","President of the United States","StateWide","Green","COBB, DAVID K.","159","","","","","","","","","","",""
"2004 General Election","ERIE","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","112","","","","","","","","","","",""
"2004 General Election","FAYETTE","President of the United States","StateWide","Democratic","KERRY, JOHN F.","29,120","","","","","","","","","","",""
"2004 General Election","FAYETTE","President of the United States","StateWide","Republican","BUSH, GEORGE W.","25,045","","","","","","","","","","",""
"2004 General Election","FAYETTE","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","447","","","","","","","","","","",""
"2004 General Election","FAYETTE","President of the United States","StateWide","Green","COBB, DAVID K.","43","","","","","","","","","","",""
"2004 General Election","FAYETTE","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","52","","","","","","","","","","",""
"2004 General Election","FOREST","President of the United States","StateWide","Democratic","KERRY, JOHN F.","989","","","","","","","","","","",""
"2004 General Election","FOREST","President of the United States","StateWide","Republican","BUSH, GEORGE W.","1,571","","","","","","","","","","",""
"2004 General Election","FOREST","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","8","","","","","","","","","","",""
"2004 General Election","FOREST","President of the United States","StateWide","Green","COBB, DAVID K.","3","","","","","","","","","","",""
"2004 General Election","FOREST","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","2","","","","","","","","","","",""
"2004 General Election","FRANKLIN","President of the United States","StateWide","Democratic","KERRY, JOHN F.","16,562","","","","","","","","","","",""
"2004 General Election","FRANKLIN","President of the United States","StateWide","Republican","BUSH, GEORGE W.","41,817","","","","","","","","","","",""
"2004 General Election","FRANKLIN","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","90","","","","","","","","","","",""
"2004 General Election","FRANKLIN","President of the United States","StateWide","Green","COBB, DAVID K.","44","","","","","","","","","","",""
"2004 General Election","FRANKLIN","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","56","","","","","","","","","","",""
"2004 General Election","FULTON","President of the United States","StateWide","Democratic","KERRY, JOHN F.","1,475","","","","","","","","","","",""
"2004 General Election","FULTON","President of the United States","StateWide","Republican","BUSH, GEORGE W.","4,772","","","","","","","","","","",""
"2004 General Election","FULTON","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","15","","","","","","","","","","",""
"2004 General Election","FULTON","President of the United States","StateWide","Green","COBB, DAVID K.","4","","","","","","","","","","",""
"2004 General Election","FULTON","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","5","","","","","","","","","","",""
"2004 General Election","GREENE","President of the United States","StateWide","Democratic","KERRY, JOHN F.","7,674","","","","","","","","","","",""
"2004 General Election","GREENE","President of the United States","StateWide","Republican","BUSH, GEORGE W.","7,786","","","","","","","","","","",""
"2004 General Election","GREENE","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","32","","","","","","","","","","",""
"2004 General Election","GREENE","President of the United States","StateWide","Green","COBB, DAVID K.","44","","","","","","","","","","",""
"2004 General Election","GREENE","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","29","","","","","","","","","","",""
"2004 General Election","HUNTINGDON","President of the United States","StateWide","Democratic","KERRY, JOHN F.","5,879","","","","","","","","","","",""
"2004 General Election","HUNTINGDON","President of the United States","StateWide","Republican","BUSH, GEORGE W.","12,126","","","","","","","","","","",""
"2004 General Election","HUNTINGDON","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","20","","","","","","","","","","",""
"2004 General Election","HUNTINGDON","President of the United States","StateWide","Green","COBB, DAVID K.","19","","","","","","","","","","",""
"2004 General Election","HUNTINGDON","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","14","","","","","","","","","","",""
"2004 General Election","INDIANA","President of the United States","StateWide","Democratic","KERRY, JOHN F.","15,831","","","","","","","","","","",""
"2004 General Election","INDIANA","President of the United States","StateWide","Republican","BUSH, GEORGE W.","20,254","","","","","","","","","","",""
"2004 General Election","INDIANA","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","77","","","","","","","","","","",""
"2004 General Election","INDIANA","President of the United States","StateWide","Green","COBB, DAVID K.","47","","","","","","","","","","",""
"2004 General Election","INDIANA","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","39","","","","","","","","","","",""
"2004 General Election","JEFFERSON","President of the United States","StateWide","Democratic","KERRY, JOHN F.","6,073","","","","","","","","","","",""
"2004 General Election","JEFFERSON","President of the United States","StateWide","Republican","BUSH, GEORGE W.","13,371","","","","","","","","","","",""
"2004 General Election","JEFFERSON","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","58","","","","","","","","","","",""
"2004 General Election","JEFFERSON","President of the United States","StateWide","Green","COBB, DAVID K.","28","","","","","","","","","","",""
"2004 General Election","JEFFERSON","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","30","","","","","","","","","","",""
"2004 General Election","JUNIATA","President of the United States","StateWide","Democratic","KERRY, JOHN F.","2,797","","","","","","","","","","",""
"2004 General Election","JUNIATA","President of the United States","StateWide","Republican","BUSH, GEORGE W.","7,144","","","","","","","","","","",""
"2004 General Election","JUNIATA","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","30","","","","","","","","","","",""
"2004 General Election","JUNIATA","President of the United States","StateWide","Green","COBB, DAVID K.","15","","","","","","","","","","",""
"2004 General Election","JUNIATA","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","20","","","","","","","","","","",""
"2004 General Election","LACKAWANNA","President of the United States","StateWide","Democratic","KERRY, JOHN F.","59,573","","","","","","","","","","",""
"2004 General Election","LACKAWANNA","President of the United States","StateWide","Republican","BUSH, GEORGE W.","44,766","","","","","","","","","","",""
"2004 General Election","LACKAWANNA","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","1,288","","","","","","","","","","",""
"2004 General Election","LACKAWANNA","President of the United States","StateWide","Green","COBB, DAVID K.","113","","","","","","","","","","",""
"2004 General Election","LACKAWANNA","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","79","","","","","","","","","","",""
"2004 General Election","LANCASTER","President of the United States","StateWide","Democratic","KERRY, JOHN F.","74,328","","","","","","","","","","",""
"2004 General Election","LANCASTER","President of the United States","StateWide","Republican","BUSH, GEORGE W.","145,591","","","","","","","","","","",""
"2004 General Election","LANCASTER","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","705","","","","","","","","","","",""
"2004 General Election","LANCASTER","President of the United States","StateWide","Green","COBB, DAVID K.","255","","","","","","","","","","",""
"2004 General Election","LANCASTER","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","399","","","","","","","","","","",""
"2004 General Election","LAWRENCE","President of the United States","StateWide","Democratic","KERRY, JOHN F.","21,387","","","","","","","","","","",""
"2004 General Election","LAWRENCE","President of the United States","StateWide","Republican","BUSH, GEORGE W.","21,938","","","","","","","","","","",""
"2004 General Election","LAWRENCE","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","56","","","","","","","","","","",""
"2004 General Election","LAWRENCE","President of the United States","StateWide","Green","COBB, DAVID K.","26","","","","","","","","","","",""
"2004 General Election","LAWRENCE","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","35","","","","","","","","","","",""
"2004 General Election","LEBANON","President of the United States","StateWide","Democratic","KERRY, JOHN F.","18,109","","","","","","","","","","",""
"2004 General Election","LEBANON","President of the United States","StateWide","Republican","BUSH, GEORGE W.","37,089","","","","","","","","","","",""
"2004 General Election","LEBANON","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","323","","","","","","","","","","",""
"2004 General Election","LEBANON","President of the United States","StateWide","Green","COBB, DAVID K.","51","","","","","","","","","","",""
"2004 General Election","LEBANON","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","93","","","","","","","","","","",""
"2004 General Election","LEHIGH","President of the United States","StateWide","Democratic","KERRY, JOHN F.","73,940","","","","","","","","","","",""
"2004 General Election","LEHIGH","President of the United States","StateWide","Republican","BUSH, GEORGE W.","70,160","","","","","","","","","","",""
"2004 General Election","LEHIGH","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","638","","","","","","","","","","",""
"2004 General Election","LEHIGH","President of the United States","StateWide","Green","COBB, DAVID K.","160","","","","","","","","","","",""
"2004 General Election","LEHIGH","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","193","","","","","","","","","","",""
"2004 General Election","LUZERNE","President of the United States","StateWide","Democratic","KERRY, JOHN F.","69,573","","","","","","","","","","",""
"2004 General Election","LUZERNE","President of the United States","StateWide","Republican","BUSH, GEORGE W.","64,953","","","","","","","","","","",""
"2004 General Election","LUZERNE","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","1,195","","","","","","","","","","",""
"2004 General Election","LUZERNE","President of the United States","StateWide","Green","COBB, DAVID K.","180","","","","","","","","","","",""
"2004 General Election","LUZERNE","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","127","","","","","","","","","","",""
"2004 General Election","LYCOMING","President of the United States","StateWide","Democratic","KERRY, JOHN F.","15,681","","","","","","","","","","",""
"2004 General Election","LYCOMING","President of the United States","StateWide","Republican","BUSH, GEORGE W.","33,961","","","","","","","","","","",""
"2004 General Election","LYCOMING","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","279","","","","","","","","","","",""
"2004 General Election","LYCOMING","President of the United States","StateWide","Green","COBB, DAVID K.","77","","","","","","","","","","",""
"2004 General Election","LYCOMING","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","51","","","","","","","","","","",""
"2004 General Election","McKEAN","President of the United States","StateWide","Democratic","KERRY, JOHN F.","6,294","","","","","","","","","","",""
"2004 General Election","McKEAN","President of the United States","StateWide","Republican","BUSH, GEORGE W.","10,941","","","","","","","","","","",""
"2004 General Election","McKEAN","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","148","","","","","","","","","","",""
"2004 General Election","McKEAN","President of the United States","StateWide","Green","COBB, DAVID K.","23","","","","","","","","","","",""
"2004 General Election","McKEAN","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","20","","","","","","","","","","",""
"2004 General Election","MERCER","President of the United States","StateWide","Democratic","KERRY, JOHN F.","24,831","","","","","","","","","","",""
"2004 General Election","MERCER","President of the United States","StateWide","Republican","BUSH, GEORGE W.","26,311","","","","","","","","","","",""
"2004 General Election","MERCER","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","149","","","","","","","","","","",""
"2004 General Election","MERCER","President of the United States","StateWide","Green","COBB, DAVID K.","133","","","","","","","","","","",""
"2004 General Election","MERCER","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","140","","","","","","","","","","",""
"2004 General Election","MIFFLIN","President of the United States","StateWide","Democratic","KERRY, JOHN F.","4,889","","","","","","","","","","",""
"2004 General Election","MIFFLIN","President of the United States","StateWide","Republican","BUSH, GEORGE W.","11,726","","","","","","","","","","",""
"2004 General Election","MIFFLIN","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","144","","","","","","","","","","",""
"2004 General Election","MIFFLIN","President of the United States","StateWide","Green","COBB, DAVID K.","20","","","","","","","","","","",""
"2004 General Election","MIFFLIN","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","23","","","","","","","","","","",""
"2004 General Election","MONROE","President of the United States","StateWide","Democratic","KERRY, JOHN F.","27,967","","","","","","","","","","",""
"2004 General Election","MONROE","President of the United States","StateWide","Republican","BUSH, GEORGE W.","27,971","","","","","","","","","","",""
"2004 General Election","MONROE","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","287","","","","","","","","","","",""
"2004 General Election","MONROE","President of the United States","StateWide","Green","COBB, DAVID K.","64","","","","","","","","","","",""
"2004 General Election","MONROE","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","53","","","","","","","","","","",""
"2004 General Election","MONTGOMERY","President of the United States","StateWide","Democratic","KERRY, JOHN F.","222,048","","","","","","","","","","",""
"2004 General Election","MONTGOMERY","President of the United States","StateWide","Republican","BUSH, GEORGE W.","175,741","","","","","","","","","","",""
"2004 General Election","MONTGOMERY","President of the United States","StateWide","Libertarian","BADNARIK, MICHAEL","1,088","","","","","","","","","","",""
"2004 General Election","MONTGOMERY","President of the United States","StateWide","Green","COBB, DAVID K.","349","","","","","","","","","","",""
"2004 General Election","MONTGOMERY","President of the United States","StateWide","Constitution","PEROUTKA, MICHAEL ANTHONY","365","","","","","","","","","","",""
"2004 General Election","MONTOUR","President of the United States","StateWide","Democratic","KERRY, JOHN F.","2,666","","","","","","","","","","",""
