,name,acp_type,election_year,dem_votes,oth_votes,rep_votes
262,WARREN,Working Class Country,2008,8537,295,9685
263,WASHINGTON,Middle Suburbs,2008,46122,1173,50752
264,WAYNE,Working Class Country,2008,9892,241,12702
265,WESTMORELAND,Middle Suburbs,2008,72721,1858,102294
266,WYOMING,Rural Middle America,2008,5985,170,6983
267,YORK,Middle Suburbs,2008,82839,2103,109268
268,ADAMS,Rural Middle America,2012,15091,599,26767
269,ALLEGHENY,Urban Suburbs,2012,352687,7355,262039
270,ARMSTRONG,Rural Middle America,2012,9045,415,20142
271,BEAVER,Middle Suburbs,2012,37055,1075,42344
272,BEDFORD,Rural Middle America,2012,4788,207,16702
273,BERKS,Middle Suburbs,2012,83011,2607,84702
274,BLAIR,Middle Suburbs,2012,16276,646,33319
275,BRADFORD,Rural Middle America,2012,8624,392,14410
276,BUCKS,Exurbs,2012,160521,3916,156579
277,BUTLER,Middle Suburbs,2012,28550,1134,59761
278,CAMBRIA,Rural Middle America,2012,24249,1114,35163
279,CAMERON,Graying America,2012,724,28,1359
280,CARBON,Working Class Country,2012,11580,497,13504
281,CENTRE,College Towns,2012,34176,1449,34001
282,CHESTER,Exurbs,2012,124311,2822,124840
283,CLARION,Rural Middle America,2012,5056,302,10828
284,CLEARFIELD,Rural Middle America,2012,11121,499,20347
285,CLINTON,Rural Middle America,2012,5734,228,7303
286,COLUMBIA,Rural Middle America,2012,10937,450,14236
287,CRAWFORD,Rural Middle America,2012,13883,604,20901
288,CUMBERLAND,College Towns,2012,44367,1638,64809
289,DAUPHIN,College Towns,2012,64965,1593,57450
290,DELAWARE,Urban Suburbs,2012,171792,2919,110853
291,ELK,Rural Middle America,2012,5463,196,7579
292,ERIE,Rural Middle America,2012,68036,1558,49025
293,FAYETTE,Rural Middle America,2012,21971,516,26018
294,FOREST,Graying America,2012,896,33,1383
295,FRANKLIN,Rural Middle America,2012,18995,823,43260
296,FULTON,Rural Middle America,2012,1310,71,4814
297,GREENE,Working Class Country,2012,5852,184,8428
298,HUNTINGDON,Graying America,2012,5409,251,11979
299,INDIANA,Rural Middle America,2012,14473,591,21257
300,JEFFERSON,Rural Middle America,2012,4787,262,13048
301,JUNIATA,Rural Middle America,2012,2547,126,6862
302,LACKAWANNA,Middle Suburbs,2012,61838,1092,35085
303,LANCASTER,Middle Suburbs,2012,88481,3286,130669
304,LAWRENCE,Middle Suburbs,2012,17513,476,21047
305,LEBANON,Middle Suburbs,2012,19900,808,35872
